rpno,policyno,paydate,mode,type
C51161790101,23006092,2561,1,UL
C51307080101,23008169,2561,1,UL
92610059465,22867527,2561,1,ULIP
C51105450101,23004835,2561,1,ULIP
C51105740101,23004837,2561,1,ULIP
C51105760101,23004838,2561,1,ULIP
C51214710101,23007207,2561,1,UL
C51275550101,23007933,2561,1,UL
610023267,22752466,2561,1,UL
C51171940101,23006289,2561,1,UL
504610028467,22883061,2561,1,ULIP
C51372500101,23009548,2561,1,UL
C51175330101,23006346,2561,1,ULIP
C51318950101,23008502,2561,1,UL
C51327310101,23008621,2561,1,UL
C51483390101,23013036,2561,1,UL
C51491500101,23013377,2561,1,UL
C51326710101,23008598,2561,1,UL
C51337300101,23008718,2561,1,UL
C51338070101,23008754,2561,1,UL
C51348390101,23009014,2561,1,UL
C51443230101,23011695,2561,1,UL
C51556240101,23014698,2561,1,UL
C51664250101,23017006,2561,1,UL
C51234420101,23007604,2561,1,ULIP
C51331810101,23008690,2561,1,UL
C51334880101,23008707,2561,1,UL
C51389570101,23009890,2561,1,UL
C51393380101,23010044,2561,1,UL
C51400950101,23010166,2561,1,UL
C51418480101,23010878,2561,1,UL
C51426570101,23011046,2561,1,UL
C51426700101,23011051,2561,1,UL
C51447930101,23011859,2561,1,UL
C51467440101,23012514,2561,1,UL
C51556800101,23014712,2561,1,UL
C51579060101,23015216,2561,1,UL
C51617060101,23016042,2561,1,UL
61610097640,22871865,2561,1,ULIP
C51256580101,23007786,2561,1,ULIP
C51256610101,23007787,2561,1,ULIP
C51488560101,23013266,2561,1,UL
610025104,22033581,2561,1,UL
7610258380,22878127,2561,1,ULIP
C51820440101,23020000,2561,1,UL
61610106674,22883185,2561,1,ULIP
C51588240101,23015323,2561,1,UL
C51488730101,23013276,2561,1,ULIP
C51593960101,23015454,2561,1,UL
C51594000101,23015456,2561,1,UL
C51630890101,23016412,2561,1,UL
C51631340101,23016425,2561,1,UL
945610000187,22894086,2561,1,ULIP
C51578620101,23015198,2561,1,UL
C51629020101,23015446,2561,1,UL
C51598750101,23015579,2561,1,UL
172610028656,22878287,2561,1,ULIP
C51527070101,23013947,2561,1,ULIP
C51665750101,23017026,2561,1,UL
192610030508,22886511,2561,1,ULIP
C51546750101,23014476,2561,1,ULIP
994610111175,22896162,2561,1,UL
C51753700101,23016759,2561,1,UL
C51567810101,23014842,2561,1,ULIP
C51954160101,23023958,2561,1,UL
C51677580101,23017251,2561,1,UL
C51727610101,23018110,2561,1,UL
C51759210101,23018594,2561,1,UL
C51815960101,23019821,2561,1,UL
C51584340101,23015260,2561,1,ULIP
C51796240101,23019290,2561,1,UL
C51697780101,23017695,2561,1,UL
C51744900101,23018337,2561,1,UL
C51691200101,23017452,2561,1,UL
C51762020101,23018681,2561,1,UL
C52102830101,23026812,2561,1,UL
C51794750101,23019237,2561,1,UL
C51829410101,23020294,2561,1,UL
C51894900101,23021361,2561,1,UL
C51893270101,23022357,2561,1,UL
945610000200,22886227,2561,1,ULIP
C51669150101,23017103,2561,1,ULIP
C51669190101,23017105,2561,1,ULIP
C51669220101,23017106,2561,1,ULIP
C51670690101,23017133,2561,1,ULIP
C51673290101,23017179,2561,1,ULIP
C51821230101,23020034,2561,1,UL
C51821800101,23020076,2561,1,UL
C51825660101,23020183,2561,1,UL
C51836530101,23020587,2561,1,UL
C51860420101,23021283,2561,1,UL
C51873830101,23021698,2561,1,UL
C51886160101,23022086,2561,1,UL
C51927920101,23023282,2561,1,UL
C51942190101,23023638,2561,1,UL
C52055380101,23025877,2561,1,UL
C52296320101,23030661,2561,1,UL
C52339780101,23031678,2561,1,UL
C52369690101,23032406,2561,1,UL
C52532390101,23035257,2561,1,UL
C51693460101,23017530,2561,1,ULIP
C51695060101,23017585,2561,1,ULIP
C51700530101,23017743,2561,1,ULIP
C51811920101,23019694,2561,1,UL
205610029994,22891879,2561,1,UL
C52165400101,23027541,2561,1,UL
945610000213,22896489,2561,1,ULIP
C51915200101,23022940,2561,1,UL
C51942540101,23023664,2561,1,UL
C52067200101,23026166,2561,1,UL
C51906240101,23022574,2561,1,UL
C51928930101,23023309,2561,1,UL
994610124712,22790334,2561,1,UL
C52296640101,23030677,2561,1,UL
C51871570101,23021616,2561,1,ULIP
C51916470101,23022992,2561,1,UL
C51961460101,23024188,2561,1,UL
C52697320101,23037344,2561,1,UL
C51958970101,23024114,2561,1,UL
C51965560101,23024244,2561,1,UL
C52337680101,23031624,2561,1,UL
C51979880101,23024560,2561,1,UL
C52044010101,23025666,2561,1,UL
C52013240101,23025113,2561,1,UL
172610031798,22889104,2561,1,ULIP
C51930730101,23023375,2561,1,ULIP
C52025790101,23025297,2561,1,UL
844610006448,22892423,2561,1,ULIP
844610006449,22892424,2561,1,ULIP
844610006450,22892427,2561,1,ULIP
844610006451,22892426,2561,1,ULIP
C51945730101,23023784,2561,1,ULIP
C52029640101,23025432,2561,1,UL
C52035690101,23025541,2561,1,UL
C52048880101,23025805,2561,1,UL
C52426630101,23033543,2561,1,UL
C51974250101,23024355,2561,1,ULIP
C52265260101,23027561,2561,1,UL
C52084270101,23026432,2561,1,UL
C52165670101,23027549,2561,1,UL
994610111183,22896115,2561,1,UL
610029473,22061255,2561,1,UL
C52136050101,23026994,2561,1,UL
C52369020101,23032383,2561,1,UL
C52455970101,23034082,2561,1,UL
155610026646,22903653,2561,1,ULIP
C52099160101,23026714,2561,1,UL
C52938010101,23044355,2561,1,UL
C52222120101,23028666,2561,1,UL
945610000237,22901435,2561,1,ULIP
C52060690101,23026015,2561,1,ULIP
C52215860101,23028611,2561,1,UL
C52222840101,23028685,2561,1,UL
C52267920101,23029815,2561,1,UL
C52316720101,23027577,2561,1,UL
C52204690101,23028293,2561,1,UL
C52215830101,23028608,2561,1,UL
C52221950101,23028658,2561,1,UL
C52230780101,23028947,2561,1,UL
C52234310101,23029034,2561,1,UL
C52241760101,23029246,2561,1,UL
C52248710101,23029384,2561,1,UL
C52272550101,23029924,2561,1,UL
C52293730101,23030564,2561,1,UL
C52301770101,23030869,2561,1,UL
C52334120101,23031507,2561,1,UL
C52373240101,23032473,2561,1,UL
C52921900101,23043957,2561,1,UL
C52992760101,23045498,2561,1,UL
C53089110101,23047189,2561,1,UL
7610339649,22894941,2561,1,ULIP
92610073553,22895041,2561,1,ULIP
92610073555,22895039,2561,1,ULIP
C52102090101,23026787,2561,1,ULIP
7610337731,22911485,2561,1,UL
C52300860101,23030832,2561,1,UL
C52571220101,23035461,2561,1,UL
C52139510101,23027058,2561,1,ULIP
815610030395,22790438,2561,1,UL
C52271820101,23029897,2561,1,UL
945610000248,22906906,2561,1,ULIP
C52796560101,23039853,2561,1,UL
61610128323,22889472,2561,1,ULIP
571610186168,22916610,2561,1,UL
541610072390,22906367,2561,1,ULIP
541610072391,22906369,2561,1,ULIP
541610072392,22906384,2561,1,ULIP
541610072393,22906382,2561,1,ULIP
541610072394,22906377,2561,1,ULIP
541610072395,22906375,2561,1,ULIP
C52321050101,23031142,2561,1,UL
C52990010101,23045458,2561,1,UL
