,applicationid,applicationno,agentid,updatedate,
,46077,620004743,0000003868,2019-06-15 16:25:48.072,
,46075,620004745,0000644355,2019-06-15 16:25:44.258,
,46074,620004742,0000642039,2019-06-15 16:25:30.927,
,46073,620004741,0000632550,2019-06-15 16:24:30.414,
,46072,620004740,0000550175,2019-06-15 16:23:49.37,
,46071,620004739,0000108027,2019-06-15 16:23:26.09,
,46069,620004737,0000573403,2019-06-15 16:23:16.789,
,46068,620004736,0000164149,2019-06-15 16:23:09.832,
,46066,620004734,0000337497,2019-06-15 16:22:47.749,
,46067,620004735,0000072616,2019-06-15 16:22:46.644,
,46065,620004733,0000628351,2019-06-15 16:22:32.363,
,46063,620004730,0000531336,2019-06-15 16:22:25.719,
,46064,620004732,0000564143,2019-06-15 16:22:24.972,
,46062,620004731,0000016764,2019-06-15 16:22:23.223,
,46061,620004729,0000005057,2019-06-15 16:22:20.814,
,46060,620004727,0000550124,2019-06-15 16:22:17.858,
,46058,620004726,0000635982,2019-06-15 16:22:16.269,
,46057,620004725,0000063555,2019-06-15 16:22:10.449,
,46056,620004723,0000093842,2019-06-15 16:22:10.098,
,46055,620004724,0000528551,2019-06-15 16:22:07.876,
,46054,620004719,0000012552,2019-06-15 16:22:07.593,
,46053,620004722,0000632628,2019-06-15 16:22:06.558,
,46052,620004721,0000658348,2019-06-15 16:22:01.421,
,46051,620004720,0000653699,2019-06-15 16:22:01.177,
,46050,620004718,0000657361,2019-06-15 16:21:59.646,
,46049,620004716,0000006921,2019-06-15 16:21:54.519,
,46046,620004714,0000628055,2019-06-15 16:21:51.162,
,46047,620004715,0000694128,2019-06-15 16:21:50.859,
,46048,620004717,0000221584,2019-06-15 16:21:50.52,
,46042,620004710,0000656809,2019-06-15 16:21:48.523,
,46043,620004712,0000019731,2019-06-15 16:21:47.977,
,46045,620004713,0000195560,2019-06-15 16:21:45.599,
,46039,620004707,0000015545,2019-06-15 16:21:35.793,
,46038,620004706,0000017627,2019-06-15 16:21:34.91,
,46040,620004708,0000521318,2019-06-15 16:21:34.407,
,46037,620004705,0000617286,2019-06-15 16:21:25.607,
,46036,620004704,0000016970,2019-06-15 16:21:15.155,
,46035,620004703,0000016423,2019-06-15 16:21:13.292,
,46034,620004702,0000637425,2019-06-15 16:07:11.119,
,46033,620004701,0000027292,2019-06-15 16:06:38.284,
,46032,620004700,0000618092,2019-06-15 16:00:42.691,
,46007,620004670,0000531336,2019-06-15 15:55:39.845,
,46000,620004667,0000016764,2019-06-15 15:55:31.964,
,45999,620004666,0000632550,2019-06-15 15:55:30.913,
,45984,620004651,0000653699,2019-06-15 14:55:50.396,
,45983,620004650,0000521318,2019-06-15 14:55:49.705,
,45982,620004649,0000164149,2019-06-15 14:55:41.72,
,45981,620004648,0000632550,2019-06-15 14:55:16.879,
,45980,620004647,0000221584,2019-06-15 14:54:53.949,
,45979,620004646,0000093842,2019-06-15 14:54:39.196,
,45978,620004645,0000694128,2019-06-15 14:53:58.589,
,45977,620004644,0000016764,2019-06-15 14:53:44.385,
,45976,620004643,0000617286,2019-06-15 14:53:38.73,
,45975,620004642,0000337497,2019-06-15 14:53:06.495,
,45973,620004640,0000564143,2019-06-15 14:52:52.343,
,45972,620004639,0000015545,2019-06-15 14:52:49.228,
,45971,620004638,0000661322,2019-06-15 14:52:37.963,
,45970,620004637,0000531336,2019-06-15 14:52:25.197,
,45969,620004635,0000631481,2019-06-15 14:52:21.718,
,45968,620004633,0000016423,2019-06-15 14:52:21.682,
,45966,620004634,0000003868,2019-06-15 14:52:19.263,
,45965,620004628,0000019731,2019-06-15 14:52:18.282,
,45967,620004636,0000626671,2019-06-15 14:52:16.73,
,45961,620004631,0000617126,2019-06-15 14:52:16.344,
,45963,620004629,0000012552,2019-06-15 14:52:16.31,
,45962,620004632,0000657361,2019-06-15 14:52:12.724,
,45959,620004626,0000628055,2019-06-15 14:52:10.074,
,45958,620004623,0000508962,2019-06-15 14:52:09.937,
,45957,620004618,0000016970,2019-06-15 14:52:09.062,
,45956,620004625,0000550124,2019-06-15 14:52:08.42,
,45960,620004627,0000644355,2019-06-15 14:52:07.892,
,45955,620004624,0000618092,2019-06-15 14:52:04.921,
,45954,620004622,0000637425,2019-06-15 14:52:03.687,
,45953,620004621,0000006921,2019-06-15 14:52:00.372,
