"applicationid","applicationno","agentid","updatedate"
"47943","620006639","0000531663","2019-06-17 18:59:18.075"
"48023","620006719","0000531663","2019-06-17 18:59:18.067"
"48123","620006820","0000531663","2019-06-17 18:59:18.059"
"48320","620007016","0000531663","2019-06-17 18:59:18.039"
"45642","620004308","0000531663","2019-06-17 18:59:18.023"
"45076","620003735","0000531663","2019-06-17 18:59:18.011"
"48419","620007118","0000531663","2019-06-17 18:59:18"
"48482","620007181","0000531663","2019-06-17 18:59:17.987"
"48519","620007216","0000531663","2019-06-17 18:59:17.975"
"48714","620007425","0000531663","2019-06-17 18:59:16.54"
"48711","620007418","0000016628","2019-06-17 18:59:16.148"
"42059","620000646","0000649109","2019-06-17 18:59:15.687"
"44100","620002738","0000649109","2019-06-17 18:59:15.583"
"44177","620002815","0000649109","2019-06-17 18:59:15.575"
"44366","620003004","0000649109","2019-06-17 18:59:15.563"
"44493","620003135","0000649109","2019-06-17 18:59:15.556"
"44779","620003433","0000649109","2019-06-17 18:59:15.539"
"44952","620003606","0000649109","2019-06-17 18:59:15.519"
"45340","620003998","0000649109","2019-06-17 18:59:15.501"
"45656","620004321","0000649109","2019-06-17 18:59:15.483"
"45725","620004391","0000649109","2019-06-17 18:59:15.475"
"48710","620007422","0000489653","2019-06-17 18:59:15.468"
"45830","620004495","0000649109","2019-06-17 18:59:15.467"
"46214","620004880","0000649109","2019-06-17 18:59:15.447"
"46309","620004980","0000649109","2019-06-17 18:59:15.435"
"46406","620005081","0000649109","2019-06-17 18:59:15.423"
"46499","620005174","0000649109","2019-06-17 18:59:15.411"
"44871","620003526","0000649109","2019-06-17 18:59:15.391"
"44307","620002944","0000649109","2019-06-17 18:59:15.38"
"46865","620005546","0000649109","2019-06-17 18:59:15.363"
"47082","620005767","0000649109","2019-06-17 18:59:15.351"
"47173","620005858","0000649109","2019-06-17 18:59:15.339"
"46987","620005670","0000649109","2019-06-17 18:59:15.319"
"47570","620006260","0000649109","2019-06-17 18:59:15.307"
"45230","620003889","0000649109","2019-06-17 18:59:15.287"
"47746","620006440","0000649109","2019-06-17 18:59:15.279"
"47847","620006541","0000649109","2019-06-17 18:59:15.271"
"47925","620006621","0000649109","2019-06-17 18:59:15.263"
"48137","620006833","0000649109","2019-06-17 18:59:15.251"
"48236","620006935","0000649109","2019-06-17 18:59:15.239"
"48313","620007010","0000649109","2019-06-17 18:59:15.227"
"47357","620006047","0000649109","2019-06-17 18:59:15.211"
"45180","620003841","0000649109","2019-06-17 18:59:15.191"
"46676","620005356","0000649109","2019-06-17 18:59:15.175"
"48532","620007235","0000649109","2019-06-17 18:59:15.143"
"48713","620007423","0000649109","2019-06-17 18:59:13.952"
"48707","620007421","0000188924","2019-06-17 18:59:08.925"
"48709","620007408","0000516895","2019-06-17 18:59:08.884"
"48708","620007420","0000581453","2019-06-17 18:59:06.962"
"48706","620007415","0000653699","2019-06-17 18:59:06.2"
"48704","620007409","0000499968","2019-06-17 18:59:02.475"
"48705","620007407","0000653726","2019-06-17 18:59:00.654"
"48703","620007410","0000093842","2019-06-17 18:58:57.264"
"48701","620007406","0000610627","2019-06-17 18:58:55.333"
"48702","620007405","0000000236","2019-06-17 18:58:53.041"
"42388","620000984","0000139405","2019-06-17 18:58:40.988"
"42495","620001097","0000139405","2019-06-17 18:58:40.987"
"42751","620001356","0000139405","2019-06-17 18:58:40.986"
"43162","620001770","0000139405","2019-06-17 18:58:40.984"
"42957","620001567","0000139405","2019-06-17 18:58:40.983"
"43356","620001977","0000139405","2019-06-17 18:58:40.981"
"43914","620002544","0000139405","2019-06-17 18:58:40.978"
"45031","620003689","0000139405","2019-06-17 18:58:40.969"
"45418","620004078","0000139405","2019-06-17 18:58:40.968"
"45794","620004459","0000139405","2019-06-17 18:58:40.962"
"46471","620005146","0000139405","2019-06-17 18:58:40.957"
"47336","620006025","0000139405","2019-06-17 18:58:40.95"
"47433","620006122","0000139405","2019-06-17 18:58:40.947"
"42683","620001287","0000139405","2019-06-17 18:58:40.946"
"43345","620001965","0000631335","2019-06-17 18:58:40.892"
"43535","620002162","0000631335","2019-06-17 18:58:40.891"
"43711","620002341","0000631335","2019-06-17 18:58:40.889"
"43906","620002537","0000631335","2019-06-17 18:58:40.888"
